vlUnitario,qtMaterial,cdMaterial,cdEmbalagem,qtEquivalencia
12.95,1,449,1,1
12.68,50,449,1,1
12.95,9,449,1,1
10.9,10,449,1,1
11.97,3,449,1,1
13.1521,100,449,1,1
10.9,20,449,1,1
13.15,140,449,1,1
13.15,480,449,1,1
13.15,100,449,1,1
13.15,40,449,1,1
13.14999,1.070,449,1,1
13.15,536,449,1,1
13.15,4,449,1,1
13.15,40,449,1,1
13.15,2.000,449,1,1
13.15,6.400,449,1,1
14.99,20,449,1,1
16.124,50,449,1,1
16.124,60,449,1,1
149.9,1,449,1,1
16.03,60,449,1,1
14.99,50,449,1,1
142.52,100,449,5,10
14.252,110,449,1,1
14.99,150,449,1,1
149.9,14,449,1,1
14.252,130,449,1,1
14.252,130,449,1,1
149.9,140,449,5,10
149.9,80,449,5,10
14.252,200,449,1,1
13.15,130,449,1,1
149.9,80,449,5,10
7.37,28,449,1,1
149.9,80,449,5,10
14.252,160,449,1,1
14.252,180,449,1,1
14.252,40,449,1,1
13.15,20,449,1,1
13.15,30,449,1,1
16.51,20,449,1,1
12.59,10,449,1,1
13.15,5,449,1,1
13.05,7,449,1,1
13.15,181,449,1,1
16.04,10,449,1,1
12.71,40,449,1,1
13.15,37,449,1,1
13.15,32,449,1,1
13.15,100,449,1,1
13.15,30,449,1,1
16.03,150,449,1,1
13.09,8,449,1,1
13.09,1,449,1,1
13.2,80,449,1,1
13.15,150,449,1,1
13.12,5,449,1,1
13.12,5,449,1,1
13.12,45,449,1,1
13.15,10,449,1,1
13.15,10,449,1,1
13.12,5,449,1,1
13.12,5,449,1,1
13.15,12,449,1,1
13.15,13,449,1,1
13.15,23,449,1,1
16.12,30,449,1,1
13.15,20,449,1,1
56.35,657,449,1,1
13.81,7,449,1,1
13.82,1,449,1,1
11.52455,189,449,1,1
16.03,370,449,1,1
161.9,324,449,1,1
94.64496,117,449,1,1
143.11243,37,449,1,1
15.5651,51,449,1,1
22.59051,39,449,1,1
24.5625,32,449,1,1
11.112,514,449,1,1
137.13077,26,449,1,1
161.24,133,449,1,1
134.00794,34,449,1,1
12.25667,27,449,1,1
41.83422,90,449,1,1
61.1675,4,449,1,1
14.97628,180,449,1,1
11.59885,130,449,1,1
133.3566,50,449,1,1
19.43,1,449,1,1
137.13095,21,449,1,1
137.13,1,449,1,1
14.71023,300,449,1,1
40.536,150,449,1,1
13.19261,23,449,1,1
12.635,6,449,1,1
16.1875,4,449,1,1
14.64095,105,449,1,1
14.252,25,449,1,1
161.24,61,449,1,1
61.16642,53,449,1,1
142.52,288,449,1,1
142.52,288,449,1,1
92.05,52,449,1,1
85.2208,113,449,1,1
161.24,79,449,1,1
16.11438,16,449,1,1
14.99,3,449,1,1
14.252,10,449,1,1
14.252,150,449,1,1
16.124,160,449,1,1
14.252,50,449,1,1
15.96,91,449,1,1
15.08,154,449,1,1
14.25,130,449,1,1
12.67,37,449,1,1
17.61,"1,130",449,1,1
13.15,90,449,1,1
13.29,212,449,1,1
103,20,449,5,10
10.3,380,449,1,1
15.966,90,449,1,1
14.99,350,449,1,1
13.47,165,449,1,1
15.05,60,449,1,1
15.69892,65,449,1,1
